Team,Conference,Region,Cinderella?,2024 NCAA Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,Total Points,PPG,Total Opp Points,Opp PPG,Scoring Margin,NET,NET SOS,Q1 Wins,Q1 Losses,3 Pointers Made,3 Pointers Attempted,3 Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,RPG,Opp Rebounds,Opp RPG,Rebound Margin,Assists,Turnovers,Assist to Turnover Ratio,TOPG,Steals,Steals per Game,Blocks,Blocks per Game,Personal Fouls,PFPG,DQs
Akron,MAC,Midwest,1,0,0,34,24,10,"2,517",74,"2,239",65.9,8.2,108,212,0,3,274,835,32.8,463,636,72.8,"1,252",36.8,"1,096",32.2,4.6,447,389,1.15,11.4,192,5.6,99,2.9,563,16.6,13
Alabama,SEC,West,0,4,1,32,21,11,"2,904",90.8,"2,594",81.1,9.7,9,4,4,10,354,969,36.5,572,730,78.4,"1,267",39.6,"1,125",35.2,4.4,515,383,1.34,12,232,7.2,133,4.2,636,19.9,25
Arizona,Pac-12,West,0,2,1,33,25,8,"2,902",87.9,"2,384",72.2,15.7,4,49,8,3,258,695,37.1,562,782,71.9,"1,407",42.6,"1,058",32.1,10.6,615,397,1.55,12,273,8.3,115,3.5,539,16.3,5
Auburn,SEC,East,0,0,1,34,27,7,"2,833",83.3,"2,313",68,15.3,5,64,3,7,273,775,35.2,594,790,75.2,"1,288",37.9,"1,176",34.6,3.3,611,360,1.7,10.6,252,7.4,212,6.2,653,19.2,7
Baylor,Big 12,West,0,1,1,33,23,10,"2,658",80.5,"2,350",71.2,9.3,15,1,10,9,279,719,38.8,553,751,73.6,"1,163",35.2,967,29.3,5.9,490,399,1.23,12.1,222,6.7,106,3.2,546,16.5,5
Boise St.,Mountain West,South,1,0,1,32,22,10,"2,426",75.8,"2,161",67.5,8.3,26,51,6,5,256,741,34.5,500,680,73.5,"1,190",37.2,953,29.8,7.4,400,357,1.12,11.2,184,5.8,77,2.4,533,16.7,7
BYU,Big 12,East,0,0,0,33,23,10,"2,701",81.8,"2,307",69.9,11.9,12,40,6,8,370,"1,063",34.8,391,530,73.8,"1,308",39.6,"1,107",33.5,6.1,613,352,1.74,10.7,196,5.9,99,3,584,17.7,8
Charleston So.,Big South,West,1,0,0,30,10,20,"2,028",67.6,"2,210",73.7,-6.1,315,146,0,4,208,629,33.1,390,530,73.6,"1,066",35.5,"1,085",36.2,-0.6,306,366,0.84,12.2,115,3.8,90,3,512,17.1,7
Clemson,ACC,West,0,3,0,32,21,11,"2,477",77.4,"2,282",71.3,6.1,35,52,5,5,267,755,35.4,454,575,79,"1,166",36.4,"1,063",33.2,3.2,469,325,1.44,10.2,144,4.5,126,3.9,505,15.8,10
Colgate,Patriot,West,1,0,1,34,25,9,"2,431",71.5,"2,150",63.2,8.3,125,270,0,2,267,739,36.1,358,526,68.1,"1,221",35.9,"1,123",33,2.9,515,360,1.43,10.6,217,6.4,119,3.5,456,13.4,6
Colorado,Pac-12,South,1,1,0,34,24,10,"2,696",79.3,"2,420",71.2,8.1,25,81,4,5,234,594,39.4,536,689,77.8,"1,277",37.6,"1,023",30.1,7.5,540,431,1.25,12.7,202,5.9,73,2.1,505,14.9,3
Colorado St.,Mountain West,Midwest,1,0,0,34,24,10,"2,596",76.4,"2,324",68.4,8,36,60,6,7,253,743,34.1,469,622,75.4,"1,118",32.9,"1,119",32.9,0,627,344,1.82,10.1,222,6.5,109,3.2,580,17.1,13
Creighton,Big East,Midwest,0,2,1,32,23,9,"2,577",80.5,"2,231",69.7,10.8,11,27,8,5,339,939,36.1,368,471,78.1,"1,214",37.9,"1,071",33.5,4.5,548,338,1.62,10.6,127,4,132,4.1,362,11.3,0
Dayton,Atlantic 10,West,0,1,0,31,24,7,"2,317",74.7,"2,055",66.3,8.5,23,92,3,4,295,734,40.2,450,613,73.4,"1,046",33.7,"1,016",32.8,1,458,317,1.44,10.2,167,5.4,124,4,416,13.4,3
Drake,MVC,East,1,0,1,34,28,6,"2,736",80.5,"2,397",70.5,10,47,130,4,1,295,804,36.7,507,667,76,"1,170",34.4,"1,107",32.6,1.9,541,329,1.64,9.7,219,6.4,53,1.6,549,16.1,5
Duke,ACC,South,0,3,1,32,24,8,"2,555",79.8,"2,158",67.4,12.4,10,71,5,4,267,708,37.7,462,640,72.2,"1,169",36.5,"1,009",31.5,5,493,311,1.59,9.7,206,6.4,118,3.7,505,15.8,5
Duquesne,Atlantic 10,East,1,1,0,35,24,11,"2,477",70.8,"2,311",66,4.7,80,96,2,3,267,786,34,470,655,71.8,"1,231",35.2,"1,198",34.2,0.9,470,413,1.14,11.8,266,7.6,152,4.3,600,17.1,13
Fla. Atlantic (FAU),AAC,East,0,0,1,33,25,8,"2,724",82.5,"2,418",73.3,9.3,39,99,2,2,279,783,35.6,505,703,71.8,"1,256",38.1,"1,118",33.9,4.2,495,367,1.35,11.1,235,7.1,100,3,529,16,5
Florida,SEC,South,0,0,0,35,24,11,"2,980",85.1,"2,749",78.5,6.6,29,30,6,8,269,787,34.2,627,881,71.2,"1,494",42.7,"1,260",36,6.7,524,412,1.27,11.8,233,6.7,184,5.3,642,18.3,14
Gonzaga,WCC,Midwest,0,2,1,32,25,7,"2,716",84.9,"2,207",69,15.9,17,91,3,6,219,619,35.4,447,620,72.1,"1,246",38.9,"1,011",31.6,7.3,530,313,1.69,9.8,222,6.9,128,4,503,15.7,5
Grambling,SWAC,Midwest,1,0,0,34,20,14,"2,298",67.6,"2,347",69,-1.4,279,169,0,6,178,525,33.9,506,717,70.6,"1,094",32.2,"1,128",33.2,-1,332,456,0.73,13.4,252,7.4,105,3.1,544,16,9
Grand Canyon,WAC,West,1,1,1,33,29,4,"2,633",79.8,"2,208",66.9,12.9,50,259,1,0,238,691,34.4,625,830,75.3,"1,260",38.2,"1,091",33.1,5.1,409,405,1.01,12.3,271,8.2,175,5.3,591,17.9,16
Houston,Big 12,South,0,2,1,34,30,4,"2,483",73,"1,937",57,16.1,1,11,16,4,262,756,34.7,429,618,69.4,"1,280",37.6,"1,150",33.8,3.8,440,302,1.46,8.9,340,10,161,4.7,605,17.8,11
Howard,MEAC,West,1,0,1,34,18,16,"2,555",75.1,"2,529",74.4,0.8,273,336,0,1,274,733,37.4,589,786,74.9,"1,221",35.9,"1,097",32.3,3.6,472,533,0.89,15.7,207,6.1,97,2.9,649,19.1,24
Illinois,Big Ten,East,0,3,1,34,26,8,"2,870",84.4,"2,509",73.8,10.6,13,35,8,6,283,809,35,595,799,74.5,"1,405",41.3,"1,117",32.9,8.5,442,366,1.21,10.8,144,4.2,129,3.8,522,15.4,2
Iowa St.,Big 12,East,0,2,1,34,27,7,"2,569",75.6,"2,084",61.3,14.3,6,16,10,6,222,637,34.9,501,719,69.7,"1,157",34,"1,125",33.1,0.9,536,363,1.48,10.7,355,10.4,104,3.1,560,16.5,9
James Madison,Sun Belt,South,1,1,0,34,31,3,"2,868",84.4,"2,352",69.2,15.2,52,320,1,1,298,817,36.5,508,718,70.8,"1,321",38.9,"1,148",33.8,5.1,558,366,1.52,10.8,306,9,103,3,584,17.2,10
Kansas,Big 12,Midwest,0,1,1,32,22,10,"2,408",75.2,"2,198",68.7,6.6,19,2,7,9,180,547,32.9,432,594,72.7,"1,151",36,"1,074",33.6,2.4,602,371,1.62,11.6,233,7.3,124,3.9,467,14.6,5
Kentucky,SEC,South,0,0,1,32,23,9,"2,862",89.4,"2,550",79.7,9.8,18,56,6,7,318,772,41.2,486,629,77.3,"1,202",37.6,"1,175",36.7,0.8,562,341,1.65,10.7,246,7.7,201,6.3,559,17.5,11
Long Beach St.,Big West,West,1,0,0,35,21,14,"2,721",77.7,"2,650",75.7,2,170,225,0,1,191,620,30.8,592,833,71.1,"1,349",38.5,"1,242",35.5,3.1,539,442,1.22,12.6,279,8,148,4.2,606,17.3,17
Longwood,Big South,South,1,0,0,34,21,13,"2,569",75.6,"2,310",67.9,7.6,162,302,0,1,198,577,34.3,537,788,68.1,"1,325",39,"1,012",29.8,9.2,437,426,1.03,12.5,240,7.1,87,2.6,623,18.3,9
Marquette,Big East,South,0,2,1,34,25,9,"2,662",78.3,"2,370",69.7,8.6,14,7,9,8,301,840,35.8,379,530,71.5,"1,115",32.8,"1,210",35.6,-2.8,538,338,1.59,9.9,291,8.6,110,3.2,522,15.4,4
McNeese,Southland,Midwest,1,0,0,33,30,3,"2,654",80.4,"2,030",61.5,18.9,56,338,1,0,252,649,38.8,502,726,69.1,"1,192",36.1,"1,075",32.6,3.5,496,323,1.54,9.8,343,10.4,113,3.4,572,17.3,13
Michigan St.,Big Ten,West,1,1,1,33,19,14,"2,413",73.1,"2,176",65.9,7.2,24,14,3,9,211,587,35.9,410,581,70.6,"1,143",34.6,"1,115",33.8,0.8,538,323,1.67,9.8,238,7.2,128,3.9,546,16.5,5
Mississippi St.,SEC,West,0,0,1,34,21,13,"2,542",74.8,"2,348",69.1,5.7,31,28,4,9,245,754,32.5,503,748,67.2,"1,304",38.4,"1,105",32.5,5.9,478,440,1.09,12.9,275,8.1,105,3.1,569,16.7,8
Montana St.,Big Sky,Midwest,1,0,1,34,17,17,"2,554",75.1,"2,518",74.1,1.1,208,307,0,1,306,833,36.7,426,581,73.3,"1,041",30.6,"1,192",35.1,-4.4,445,396,1.12,11.6,280,8.2,81,2.4,629,18.5,21
Morehead St.,OVC,East,1,0,0,34,26,8,"2,566",75.5,"2,135",62.8,12.7,106,267,0,2,318,882,36.1,412,584,70.5,"1,340",39.4,"1,036",30.5,8.9,512,407,1.26,12,199,5.9,160,4.7,540,15.9,8
NC State,ACC,South,1,4,1,36,22,14,"2,749",76.4,"2,617",72.7,3.7,63,48,3,8,254,733,34.7,523,713,73.4,"1,259",35,"1,300",36.1,-1.1,462,344,1.34,9.6,267,7.4,126,3.5,589,16.4,11
Nebraska,Big Ten,South,0,0,0,33,23,10,"2,560",77.6,"2,313",70.1,7.5,33,67,4,7,312,871,35.8,478,634,75.4,"1,252",37.9,"1,228",37.2,0.7,506,367,1.38,11.1,209,6.3,87,2.6,522,15.8,7
Nevada,Mountain West,West,1,0,1,33,26,7,"2,522",76.4,"2,213",67.1,9.4,34,88,6,6,220,603,36.5,590,818,72.1,"1,137",34.5,"1,080",32.7,1.7,498,330,1.51,10,206,6.2,119,3.6,585,17.7,9
New Mexico,Mountain West,West,1,0,0,35,26,9,"2,860",81.7,"2,468",70.5,11.2,22,82,5,6,230,688,33.4,534,753,70.9,"1,387",39.6,"1,235",35.3,4.3,518,348,1.49,9.9,308,8.8,176,5,616,17.6,4
North Carolina,ACC,West,0,2,0,34,27,7,"2,770",81.5,"2,388",70.2,11.2,8,32,9,3,270,763,35.4,590,783,75.4,"1,399",41.1,"1,146",33.7,7.4,493,351,1.4,10.3,197,5.8,139,4.1,566,16.6,10
Northwestern,Big Ten,East,1,1,1,32,21,11,"2,358",73.7,"2,208",69,4.7,53,47,4,7,266,675,39.4,410,548,74.8,997,31.2,"1,066",33.3,-2.2,502,280,1.79,8.8,222,6.9,105,3.3,568,17.8,12
Oakland,Horizon,South,1,1,0,34,23,11,"2,598",76.4,"2,479",72.9,3.5,126,157,1,5,291,829,35.1,477,629,75.8,"1,218",35.8,"1,163",34.2,1.6,493,382,1.29,11.2,228,6.7,96,2.8,513,15.1,11
Oregon,Pac-12,Midwest,1,1,0,34,23,11,"2,561",75.3,"2,443",71.9,3.5,59,72,4,6,249,741,33.6,466,652,71.5,"1,163",34.2,"1,147",33.7,0.5,468,347,1.35,10.2,246,7.2,121,3.6,562,16.5,7
Purdue,Big Ten,Midwest,0,5,1,33,29,4,"2,752",83.4,"2,313",70.2,13.3,3,8,12,4,275,674,40.8,595,825,72.1,"1,332",40.4,978,29.6,10.7,607,379,1.6,11.5,187,5.7,125,3.8,474,14.4,2
Saint Mary's (CA),WCC,West,0,0,1,33,26,7,"2,450",74.2,"1,938",58.7,15.5,16,102,5,3,251,708,35.5,379,559,67.8,"1,305",39.5,908,27.5,12,534,334,1.6,10.1,216,6.5,129,3.9,535,16.2,11
Saint Peter's,MAAC,Midwest,1,0,0,32,19,13,"2,091",65.3,"2,030",63.4,1.9,188,318,0,1,188,566,33.2,495,694,71.3,"1,140",35.6,"1,059",33.1,2.5,347,408,0.85,12.8,231,7.2,136,4.2,618,19.3,9
Samford,SoCon,Midwest,1,0,0,34,29,5,"2,923",86,"2,514",73.9,12,74,260,0,2,335,852,39.3,540,742,72.8,"1,217",35.8,"1,211",35.6,0.2,596,448,1.33,13.2,340,10,130,3.8,647,19,12
San Diego St.,Mountain West,East,0,2,1,34,24,10,"2,536",74.6,"2,263",66.6,8,20,25,4,9,236,755,31.3,540,737,73.3,"1,295",38.1,"1,137",33.4,4.6,446,376,1.19,11.1,248,7.3,137,4,596,17.5,8
South Carolina,SEC,Midwest,0,0,0,33,26,7,"2,377",72,"2,210",67,5.1,51,69,6,5,263,785,33.5,434,608,71.4,"1,184",35.9,"1,079",32.7,3.2,507,333,1.52,10.1,159,4.8,105,3.2,528,16,4
South Dakota St.,Summit League,East,1,0,0,34,22,12,"2,610",76.8,"2,408",70.8,5.9,135,312,0,1,290,799,36.3,412,582,70.8,"1,212",35.6,"1,145",33.7,2,435,380,1.14,11.2,209,6.1,110,3.2,488,14.4,7
Stetson,ASUN,East,1,0,0,34,22,12,"2,635",77.5,"2,475",72.8,4.7,209,243,1,2,310,837,37,459,599,76.6,"1,186",34.9,"1,169",34.4,0.5,459,355,1.29,10.4,181,5.3,104,3.1,504,14.8,9
TCU,Big 12,Midwest,1,0,1,33,21,12,"2,615",79.2,"2,351",71.2,8,42,26,5,11,217,610,35.6,518,710,73,"1,222",37,"1,073",32.5,4.5,562,424,1.33,12.8,299,9.1,124,3.8,580,17.6,4
Tennessee,SEC,Midwest,0,3,1,32,24,8,"2,543",79.5,"2,172",67.9,11.6,7,10,8,7,279,816,34.2,508,678,74.9,"1,242",38.8,"1,127",35.2,3.6,537,329,1.63,10.3,254,7.9,149,4.7,558,17.4,7
Texas,Big 12,Midwest,0,1,1,32,20,12,"2,449",76.5,"2,236",69.9,6.7,30,17,5,9,237,654,36.2,432,571,75.7,"1,106",34.6,"1,074",33.6,1,503,364,1.38,11.4,230,7.2,144,4.5,559,17.5,12
Texas A&M,SEC,South,1,1,1,34,20,14,"2,543",74.8,"2,408",70.8,4,45,18,7,7,234,823,28.4,585,825,70.9,"1,452",42.7,"1,149",33.8,8.9,384,327,1.17,9.6,242,7.1,98,2.9,566,16.6,14
Texas Tech,Big 12,South,0,0,0,33,23,10,"2,494",75.6,"2,288",69.3,6.2,27,29,6,9,282,773,36.5,506,650,77.8,"1,155",35,"1,115",33.8,1.2,486,368,1.32,11.2,201,6.1,84,2.5,488,14.8,8
UAB,AAC,East,1,0,0,34,23,11,"2,646",77.8,"2,558",75.2,2.6,104,114,0,4,208,638,32.6,604,810,74.6,"1,296",38.1,"1,180",34.7,3.4,463,392,1.18,11.5,229,6.7,157,4.6,537,15.8,13
UConn,Big East,East,0,6,1,34,31,3,"2,770",81.5,"2,190",64.4,17.1,2,24,13,3,299,815,36.7,493,664,74.2,"1,308",38.5,"1,022",30.1,8.4,630,335,1.88,9.9,212,6.2,183,5.4,552,16.2,7
Utah St.,Mountain West,Midwest,0,1,1,33,27,6,"2,633",79.8,"2,319",70.3,9.5,38,90,4,5,209,632,33.1,538,752,71.5,"1,198",36.3,"1,067",32.3,4,541,368,1.47,11.2,223,6.8,135,4.1,561,17,6
Vermont,America East,South,1,0,1,34,28,6,"2,459",72.3,"2,141",63,9.4,102,285,0,2,295,858,34.4,404,561,72,"1,186",34.9,"1,145",33.7,1.2,466,310,1.5,9.1,198,5.8,133,3.9,469,13.8,1
Virginia,ACC,Midwest,1,0,1,33,23,10,"2,098",63.6,"1,964",59.6,4.1,54,80,2,7,217,598,36.3,293,460,63.7,"1,083",32.8,"1,138",34.5,-1.7,503,270,1.86,8.2,235,7.1,168,5.1,445,13.5,5
Wagner,NEC,West,1,0,0,31,16,15,"1,970",63.5,"1,925",62.1,1.5,290,351,0,2,223,692,32.2,335,472,71,"1,131",36.5,"1,083",34.9,1.5,397,310,1.28,10,185,6,69,2.2,478,15.4,8
Washington St.,Pac-12,East,0,1,0,33,24,9,"2,452",74.3,"2,207",66.9,7.4,44,87,6,4,211,621,34,431,615,70.1,"1,244",37.7,"1,043",31.6,6.1,414,357,1.16,10.8,173,5.2,160,4.8,553,16.8,6
Western Ky.,CUSA,South,1,0,0,33,22,11,"2,659",80.6,"2,444",74.1,6.5,136,328,0,0,225,662,34,498,693,71.9,"1,314",39.8,"1,206",36.5,3.3,437,452,0.97,13.7,255,7.7,106,3.2,610,18.5,12
Wisconsin,Big Ten,South,0,0,0,35,22,13,"2,627",75.1,"2,448",69.9,5.1,21,3,5,9,248,713,34.8,513,676,75.9,"1,188",33.9,"1,076",30.7,3.2,445,339,1.31,9.7,218,6.2,56,1.6,575,16.4,10
Yale,Ivy League,East,1,1,0,31,22,9,"2,330",75.2,"2,065",66.6,8.5,83,134,0,3,225,648,34.7,355,501,70.9,"1,150",37.1,"1,002",32.3,4.8,472,293,1.61,9.5,186,6,103,3.3,466,15,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
